Inflation,Length,Profit_Dev,Profit_Col,Delta,V_colu,V_comp,z_dev,z_low_colu,z_high_colu,z_low_comp,z_high_comp
0.01,35,14.6577878564119,14.6479529988113,0.93182525246121,22.7186910154573,22.6022619454856,1.49,1.26,1.53,1.18,1.53
0.0144444444444444,24,11.5547075281433,11.5483813731508,0.886556272728403,22.7186910154573,22.6048789090674,1.49,1.26,1.53,1.18,1.53
0.0188888888888889,22,10.8375521274819,10.8260670178311,0.895943876125765,22.6439212855759,22.5151089579745,1.53,1.25,1.58,1.16,1.58
0.0233333333333333,18,9.35250207345264,9.34361001024537,0.862725606062894,22.6439212855759,22.5170702105213,1.53,1.25,1.58,1.16,1.58
0.0277777777777778,17,8.93023785502921,8.91984298797524,0.859473720966885,22.5820741842051,22.4456583763702,1.55,1.23,1.61,1.14,1.61
0.0322222222222222,15,8.09522889358916,8.08704464010665,0.829202182593392,22.5820741842051,22.4462201549595,1.56,1.23,1.61,1.14,1.61
0.0366666666666667,14,7.64639495379707,7.6369980925213,0.820684908858526,22.5273896402484,22.3779339169443,1.57,1.22,1.63,1.13,1.64
0.0411111111111111,12,6.74073540054141,6.73035320077418,0.800721339071332,22.5273896402484,22.3779339169443,1.57,1.22,1.63,1.13,1.64
0.0455555555555556,12,6.72438597802621,6.71466866005525,0.79122357332891,22.4763206497101,22.3149012236861,1.59,1.21,1.65,1.12,1.66
0.05,11,6.24978715344928,6.24090550727454,0.765983775986995,22.4763206497101,22.3095659104244,1.59,1.21,1.65,1.12,1.67
